职位,薪资,公司,所在地,要求
电商运营实习生,100-120元/天,摩也精油和纯露,上海·嘉定区·江桥,5天/周1个月高中
LianJia诚聘社区运营,7-12K,上海链家,上海·松江区·泰晤士小镇,在校/应届本科
shopee运营(MJ000491),9-13K·13薪,司顺电子商务,上海·嘉定区·江桥,经验不限大专
商品运营(J10767),8-13K,上海米居,上海·静安区·汶水路,经验不限大专
创新业务产品运营Leader(Metaverse),40-70K·16薪,腾讯,上海·徐汇区·漕河泾,10年以上本科
运营学徒（有人带，拎包入住）,8-12K,上海智见文化传媒...,上海·闵行区·浦江,经验不限学历不限
民宿运营,7-10K·13薪,美团,上海·长宁区·北新泾,经验不限大专
腾讯游戏平台渠道运营,8-13K·13薪,中软国际,上海·徐汇区·漕河泾,1年以内大专
新媒体运营实习生,200-250元/天,枫迎,上海·静安区·汶水路,5天/周12个月大专
运营助理/专员,4-7K·13薪,正新集团,上海,经验不限大专
社区项目运营总监,15-20K,嗨回收,上海·徐汇区·龙华,5-10年学历不限
宠物医院运营主管,7-10K·13薪,新瑞鹏宠物医疗集团,上海·浦东新区·塘桥,1-3年大专
高级社区运营/质检（有审核经验优先）,6-10K·15薪,bilibili,上海·杨浦区·五角场,1-3年大专
数字化运营见习主管,6-8K,孩子王,上海·闵行区·浦江,经验不限大专
增值运营,4-5K,百度分公司,上海·嘉定区·嘉定镇,1年以内大专
储备运营主管-校招,4-6K,梦百合,上海·徐汇区·徐家汇,在校/应届大专
产品运营实习生-内容方向,150-300元/天,北京字节跳动,上海·徐汇区·漕河泾,4天/周4个月本科
民宿运营专员,8-9K·13薪,美团,上海·长宁区·北新泾,经验不限大专
运营助理（商品方向）,180-200元/天,Miomi,上海·虹口区·虹口足球场,3天/周3个月学历不限
2022校招-IT运营-综合布线工程师,10-15K,特斯拉 Tesla,上海·浦东新区·临港,在校/应届学历不限
电商运营,6-10K·14薪,旺旺集团,上海·闵行区·虹桥,1-3年大专
项目管理（运营中台方向）实习生,160-170元/天,哈啰出行,上海·闵行区·莘庄,5天/周6个月本科
运营专员丨双休丨六险一金,8-10K·13薪,公瑾科技,上海·徐汇区·漕河泾,1-3年大专
新媒体运营（包食宿+接受无经验）,7-12K,上海智见文化传媒...,上海·闵行区·浦江,经验不限学历不限
社区电商BD运营,10-15K·13薪,美团,上海·浦东新区·陆家嘴,经验不限大专
平台运营助理（包吃住/工作轻松）,7-12K,上海智见文化传媒...,上海·闵行区·浦江,经验不限学历不限
运营主管,10-15K,美团,上海·徐汇区·漕河泾,3-5年大专
新媒体运营（接受新人小白无经验）,8-12K,上海智见文化传媒...,上海·闵行区·浦江,经验不限高中
民宿运营专员,7-10K·13薪,美团,上海·长宁区·北新泾,经验不限大专
直播运营（免费包吃住、接受小白）,8-12K,上海智见文化传媒...,上海·闵行区·浦江,经验不限高中
美团民宿商家运营,8-11K·13薪,美团,上海·长宁区·北新泾,经验不限大专
运营助理（包吃住+带薪培训）,7-12K,上海智见文化传媒...,上海·闵行区·浦江,经验不限学历不限
酒店运营经理,8-13K·13薪,美团,上海·普陀区·真如,经验不限大专
包吃住运营专员（接受新人小白有人带）,8-12K,上海智见文化传媒...,上海·闵行区·浦江,经验不限学历不限
民宿运营专员,7-10K,美团,上海·长宁区·北新泾,1-3年大专
新媒体运营助理（氛围好+入职培训）,7-12K,上海智见文化传媒...,上海·闵行区·浦江,经验不限学历不限
商家运营,10-15K,美团,上海·徐汇区·漕河泾,1-3年大专
新媒体运营（拎包入住，无经验）,8-12K,上海智见文化传媒...,上海·闵行区·浦江,经验不限学历不限
民宿商家运营-美团直聘,8-10K·13薪,美团,上海·长宁区·北新泾,经验不限大专
运营学徒（包吃住、有人带）,8-12K,上海智见文化传媒...,上海·闵行区·浦江,经验不限学历不限
运营学徒（包吃住+有人带）,7-12K,上海智见文化传媒...,上海·闵行区·浦江,经验不限学历不限
运营助理（接受无经验包吃住）,8-10K,上海智见文化传媒...,上海·闵行区·浦江,经验不限学历不限
运营助理/经纪人学徒（免费包吃住）,6-9K,上海智见文化传媒...,上海·闵行区·浦江,经验不限学历不限
运营学徒/包吃住有人带,8-12K,上海智见文化传媒...,上海·闵行区·浦江,经验不限学历不限
平台运营（免费包吃住）,8-12K,上海智见文化传媒...,上海·闵行区·浦江,经验不限学历不限
运营学徒（包吃住、有人带）,8-10K,上海智见文化传媒...,上海·闵行区·浦江,经验不限学历不限
运营学徒（包吃住+有人带）,8-12K,上海智见文化传媒...,上海·闵行区·浦江,经验不限学历不限
新媒体运营（接受无经验小白）,8-9K,上海智见文化传媒...,上海·闵行区·浦江,经验不限学历不限
