职位,薪资,公司,所在地,要求
高级Java,20-30K,上海小牛互娱,上海·杨浦区·延吉,5-10年大专
Java,10-11K,上海信联信息发展...,上海·普陀区·长风,1年以内大专
Java开发,150-200元/天,天风证券,上海·浦东新区·世纪公园,5天/周2个月本科
Java,25-40K·16薪,阿里巴巴集团,上海·静安区·曹家渡,5-10年本科
Java,12-14K,得逸信息,上海·青浦区·青浦城区,1-3年大专
Java开发,12-24K·13薪,上海复深蓝,上海·静安区·曹家渡,3-5年大专
java开发,15-18K,软通动力,上海·浦东新区·陆家嘴,1-3年大专
java,20-25K,上海博为峰,上海·黄浦区·董家渡,1-3年大专
Java,8-12K·13薪,万达信息,上海·闵行区·浦江,1-3年大专
Java工程师,15-22K,天阳科技,上海·浦东新区·金桥,5-10年本科
JAVA工程师,12-23K,兴融联科技,上海·浦东新区·张江,经验不限大专
Java,8-12K,易联互动,上海·浦东新区·三林,1-3年本科
Java,20-40K·15薪,叮咚买菜,上海·浦东新区·张江,5-10年本科
Java工程师,16-21K,博彦科技,上海·普陀区·长寿路,经验不限学历不限
Java,20-40K,京东集团,上海·宝山区·通河,5-10年本科
Java,11-19K·13薪,重庆新致金服,上海·浦东新区·联洋,经验不限大专
Java,25-50K,bilibili,上海·杨浦区·五角场,5-10年本科
Java,18-23K·13薪,申朴信息,上海·浦东新区,3-5年大专
Java,16-20K,亿达信息,上海·浦东新区·陆家嘴,3-5年大专
java,18-25K,中软国际,上海·浦东新区·迪士尼,3-5年大专
Java,16-20K,新致软件,上海·浦东新区·陆家嘴,3-5年大专
Java,25-50K,蚂蚁集团,上海·浦东新区·陆家嘴,经验不限本科
Java,14-16K,拓保软件,上海·长宁区·北新泾,3-5年大专
Java,13-18K·13薪,同方鼎欣,上海,3-5年大专
JAVA,12-20K,约和网络科技,上海·浦东新区·唐镇,经验不限学历不限
java开发,14-26K,法本,上海·浦东新区·陆家嘴,经验不限大专
Java,9-14K,中科软,上海·浦东新区·陆家嘴,1-3年本科
Java开发工程师,8-10K,安硕信息技术,上海·杨浦区·五角场,在校/应届本科
Java开发工程师,12-20K,软通动力信息技术集团,上海·宝山区·高境,5-10年大专
java,20-35K·13薪,极兔速递,上海·青浦区·虹桥枢纽周边区,5-10年学历不限
中高级Java开发工程师,12-21K,中电金信,上海·浦东新区·陆家嘴,5-10年大专
Java,35-60K·16薪,饿了么,上海·普陀区·长征,5-10年本科
Java,20-30K,京东集团,上海·长宁区·北新泾,5-10年学历不限
java开发,12-18K,软通动力,上海·浦东新区·陆家嘴,1-3年大专
Java开发,13-20K,博彦科技,上海·浦东新区·陆家嘴,3-5年大专
Java,30-40K·15薪,叮咚买菜,上海·浦东新区·张江,5-10年本科
Java,10-15K·13薪,万达信息,上海·闵行区·浦江,3-5年大专
Java工程师,13-18K,中软国际,上海·浦东新区·张江,1-3年大专
JAVA,13-17K,同方鼎欣,上海·黄浦区·外滩,3-5年大专
JAVA后端开发,10-13K·13薪,新致软件,上海,1-3年学历不限
java开发,16-26K·13薪,拓保软件,上海·浦东新区·张江,1-3年大专
Java,14-28K,法本,上海·黄浦区·打浦桥,经验不限大专
Java,25-30K,极兔速递,上海·青浦区·华新,5-10年大专
Java,13-17K,博彦科技,上海·普陀区·长征,1-3年大专
