职位,薪资,公司,所在地,要求
置业顾问 提供住宿 月入5-8W 上不封顶,20-35K,上海赞房网络科技,上海·松江区·九亭,经验不限学历不限
首席执行官CEO,200-210K,茨岗科技有限公司,上海,1-3年本科
产品总监,15-30K,星绎信息,上海·普陀区·长征,5-10年本科
咨询顾问（助理）,10-15K·14薪,万为瞻卓,上海·黄浦区·人民广场,在校/应届硕士
SaaS软件销售/BD销售/智能硬件销售,10-15K,三体云动,上海·徐汇区·漕河泾,经验不限大专
韩语翻译,6-10K,恩熙,上海·闵行区·七宝,1-3年大专
KA大客户销售【上海】(J10487),25-35K,晓多科技,上海·浦东新区·张江,经验不限学历不限
CFO,40-70K·13薪,拓牛智能科技,上海·浦东新区·张江,10年以上本科
租房业务员7K起+全上海就近（免费端口）,7-12K,巴乐兔,上海·嘉定区·南翔,经验不限学历不限
一手房销售 包住 月入5-10万 上不封顶,3-8K,上海欢庭房地产经...,上海·松江区·九亭,经验不限学历不限
总经理,12-15K,星摩,上海·徐汇区·斜土路,3-5年学历不限
7000底薪+包食宿+金融销售代表,7-12K,上海世基,上海·浦东新区·陆家嘴,经验不限大专
上海知名西餐厅经理,10-15K,布朗石餐饮,上海·浦东新区·陆家嘴,5-10年学历不限
CEO/总裁/总经理,30-45K·18薪,中民油气,上海·浦东新区·外高桥,10年以上本科
CEO助理（上海）,8-12K,理享家,上海·黄浦区·豫园,经验不限本科
董事长/CEO助理,8-13K,Simba Events,上海·闵行区·七宝,经验不限本科
总经理/CEO （金融板块）,200-210K,明金集团,上海·浦东新区·陆家嘴,10年以上本科
CEO助理,10-15K·13薪,吾未网络,上海·徐汇区·漕河泾,1-3年本科
海外资产配置顾问（CEO/VP直带名额有限）,10-15K,e代理,上海·静安区·南京西路,1-3年本科
销售培训生,6-10K,韵光科技,上海·闵行区·虹桥,1年以内大专
CEO助理/总裁助理/总助,12-18K·13薪,中环云起,上海·浦东新区·陆家嘴,经验不限本科
产品总监,20-35K,上海品筑,上海·普陀区·长寿路,3-5年大专
直播基地CEO,15-20K,索龙影视,上海·静安区·盛源生活广场,3-5年本科
底薪6K销售顾问+大厂,10-15K,高顿教育集团,上海·虹口区·虹口足球场,经验不限大专
电销 周末双休 早九晚六,8-13K,锐信网络,上海·杨浦区·五角场,经验不限高中
急聘！销售专员！7k-15k,7-12K,昊薪科技,上海·徐汇区·龙华,经验不限学历不限
互连网+建材五百强企业全国布局招销售BD,20-40K,百安居,上海,经验不限学历不限
创业合伙人/联营创始人,20-40K·13薪,蒲公英新零售,上海·浦东新区·金桥,经验不限大专
总经理,12-15K,星摩,上海·徐汇区·斜土路,3-5年学历不限
CEO助理,8-10K,理享家,上海·黄浦区·城隍庙,在校/应届本科
CEO助理,10-15K,吾未网络,上海,1年以内本科
CEO助理/管培生,10-15K,e代理,上海·静安区·南京西路,1-3年本科
税务筹划+灵活用工+周末双休,10-15K,昊薪科技,上海·徐汇区·龙华,经验不限学历不限
互连网+建材行业（百安居招BDM岗位）500强,15-30K,百安居,上海,经验不限大专
CEO/VP助理（业务方向）,10-15K,e代理,上海·静安区·南京西路,1-3年本科
CEO助理,8-12K,理享家,上海·黄浦区·城隍庙,经验不限本科
互联网家装建材销售，全国500强，五险一金,11-20K,百安居,上海·浦东新区·世纪公园,1年以内大专
储备业务管理/管培项目（CEO直带）,10-15K,e代理,上海·静安区·南京西路,1-3年本科
高底薪BDM(产业互联网，IDG投资）,15-30K,百安居,上海·浦东新区·世纪公园,经验不限大专
战略合作 管培生项目（CEO直带名额有限）,10-15K,e代理,上海·静安区·南京西路,1-3年本科
CEO助理/管培生,15-20K,e代理,上海·静安区·南京西路,1-3年本科
