职位,薪资,公司,所在地,要求
Java架构师/技术经理,18-30K,不懂网络科技,上海·闵行区·虹桥,5-10年学历不限
架构师,30-60K·13薪,中通吉网络技术,上海·青浦区·青浦城区,5-10年本科
大数据应用架构师（上海）,20-40K,银联商务,上海·浦东新区·张江,5-10年本科
资深架构师,25-50K,盛腾汽车,上海·长宁区·中山公园,10年以上本科
需求分析师-电商/新能源,15-30K·13薪,米息信息,上海,5-10年大专
系统架构师,8-13K,灵博,上海·闵行区·虹桥,3-5年大专
.Net(急招!!!易面过，午餐免费，欢迎投简）,15-25K,法本,上海·浦东新区·金桥,经验不限大专
架构师,35-50K·13薪,中通快递,上海·青浦区·青浦城区,5-10年本科
首席架构师,50-60K,杉德,上海·闵行区·浦江,10年以上本科
MMORPG客户端开发架构师,50-80K,上海跳珠网络,上海·长宁区·北新泾,5-10年本科
资深架构师,40-60K·14薪,畅想信息技术有限公司,上海·浦东新区·陆家嘴,经验不限本科
软件架构师,25-35K,曼芙丽,上海·松江区·新桥,5-10年硕士
架构师,30-50K,永辉大科技,上海·闵行区·华漕,5-10年本科
云计算架构师,25-50K·16薪,腾讯,上海·徐汇区·漕河泾,5-10年本科
架构师,40-55K,饿了么,上海·普陀区·长风,5-10年本科
智能运维数据分析实习生,200-210元/天,NIO蔚来,上海·嘉定区·安亭,4天/周3个月本科
后端架构师,35-55K·13薪,轻流,上海·闵行区·老闵行,5-10年本科
技术架构师,25-35K·13薪,极兔速递,上海·青浦区·虹桥枢纽周边区,5-10年本科
整车工程-数据架构师,20-40K,小米,上海·徐汇区·漕河泾,5-10年学历不限
前端架构师 (MJ000024),40-70K,壹沓科技,上海·静安区·大宁,5-10年大专
架构师,10-15K·24薪,微务智能,上海·闵行区·吴泾,3-5年本科
资深开发工程师(Python/Golang),30-35K·18薪,得物App,上海·杨浦区·东外滩,经验不限学历不限
推荐架构工程师 — 抖音,20-40K·15薪,今日头条,上海·闵行区·虹梅路,经验不限学历不限
证券分析师,20-40K,上海垤晓,上海·青浦区·徐泾,经验不限学历不限
系统架构师（主机安全方向）,40-65K·15薪,铭图天成,上海·浦东新区·张江,5-10年大专
分析师,8-13K,e代理,上海·静安区·南京西路,1-3年硕士
数据分析,200-300元/天,bilibili,上海·杨浦区·五角场,4天/周6个月硕士
应用架构师,30-45K·14薪,太美医疗科技,上海·普陀区·武宁,5-10年本科
数据分析,6-8K·13薪,旺旺集团,上海·闵行区·虹桥,1-3年大专
Cloud Architect,25-50K·14薪,埃森哲,上海·静安区·静安寺,5-10年本科
数通产品架构师,30-60K,垣信卫星科技有限公司,上海·浦东新区·张江,10年以上硕士
软件架构师,30-45K·14薪,远铸智能,上海·浦东新区·康桥,5-10年本科
系统架构师,30-35K,杉德,上海,10年以上本科
架构师,40-70K·14薪,畅想信息技术有限公司,上海·浦东新区·陆家嘴,5-10年硕士
架构师,30-60K,中通快递,上海·青浦区·华新,5-10年学历不限
后端架构师,35-55K·13薪,轻流,上海,5-10年本科
交付架构师集成架构师,30-50K,腾讯,上海·徐汇区·漕河泾,5-10年本科
数据分析实习,150-200元/天,bilibili,上海·杨浦区·五角场,4天/周3个月硕士
数据分析师,190-200元/天,得物App,上海·杨浦区·长阳路,4天/周3个月硕士
业务架构师,35-50K·16薪,永辉大科技,上海·闵行区·虹桥,5-10年本科
Technology-阿里云微服务架构师,25-45K·13薪,埃森哲,上海,5-10年本科
安全架构师(J59M2),60-90K·13薪,NIO蔚来,上海·嘉定区·安亭,10年以上本科
