  职位,薪资,公司,所在地,要求
NLP自然语言处理工程师,16-23K·15薪,深众科技,上海·黄浦区·人民广场,1年以内本科
NLP自然语言处理算法工程师,15-30K·13薪,玺禄投资,上海·浦东新区·陆家嘴,经验不限本科
微信自然语言处理算法工程师,40-70K·16薪,腾讯,上海·徐汇区·漕河泾,3-5年本科
NLP算法专家,50-80K,元梦智能,上海·浦东新区·塘桥,5-10年博士
算法工程师（机器学习自然语言处理）,25-40K·13薪,外教社信息技术,上海·虹口区·曲阳,3-5年硕士
自然语言处理,15-25K·16薪,上汽大通,上海·杨浦区·中原,3-5年本科
自然语言工程师,25-45K,源杉科技,上海·虹口区·周家嘴路,3-5年硕士
知识图谱算法助理研究员,200-350元/天,深杳智能,上海·闵行区·老闵行,2天/周2个月本科
自然语言处理算法专家,30-60K,杨胜大业,上海·普陀区·长征,3-5年本科
WI9612-算法工程师(自然语言处理),30-50K·15薪,bilibili,上海·杨浦区·五角场,3-5年硕士
自然语言算法工程师,30-50K·16薪,Soul App,上海·浦东新区·世纪公园,1-3年本科
自然语言处理（管理岗）,50-80K·13薪,卓繁信息,上海·徐汇区·田林,1-3年博士
自然语言处理NLP助理研究员,18-35K·15薪,瞻程投资,上海·浦东新区·世纪公园,1-3年硕士
资深/高级自然语言处理工程师,20-40K,携程集团,上海·长宁区·北新泾,1-3年硕士
自然语言处理+机器学习工程师,15-20K,康水医疗科技,上海·徐汇区·湖南路,1-3年本科
NLP算法实习生,300-500元/天,循环智能,上海·黄浦区·打浦桥,3天/周4个月硕士
自然语言处理算法工程师,20-40K,CYCLONE RPA,上海·徐汇区·龙华,1-3年硕士
自然语言处理工程师,25-50K,七印科技,上海·虹口区·四川北路,1-3年硕士
Python数据分析师(上海 中达广场-PF）,15-23K,博彦科技,上海·浦东新区·陆家嘴,3-5年大专
自然语言处理工程师,20-40K,乐言科技,上海·徐汇区·徐家汇,经验不限硕士
算法--实习生,180-240元/天,喜马拉雅,上海·浦东新区·张江,5天/周4个月学历不限
知识图谱/自然语言处理算法工程师,30-35K,Shopee,上海·徐汇区·漕河泾,1-3年本科
自然语言处理算法工程师,10-20K,上海元趣,上海·浦东新区·张江,1-3年本科
ADAS信号处理实习生,200-250元/天,上海保隆汽车,上海·松江区·佘山,3天/周3个月硕士
自然语言处理（NLP）开发工程师,20-30K·13薪,学透通,上海·静安区·火车站,1-3年本科
计算机视觉算法工程师（实习生）,200-300元/天,OPPO,上海·徐汇区·龙华,4天/周6个月硕士
广告算法实习生,150-250元/天,传音控股,上海·浦东新区·张江,4天/周3个月本科
自然语言处理算法工程师,20-30K,懿衡信息,上海·浦东新区·北蔡,3-5年本科
AI算法模型工程师（实习）,250-300元/天,哲库,上海·浦东新区·张江,4天/周3个月硕士
高级自然语言处理工程师,35-55K·16薪,Soul App,上海·浦东新区·世纪公园,3-5年硕士
23届-2022年阿里春招-杭州-JAVA研发实习生,200-400元/天,阿里巴巴国际事业部,上海·闵行区·华漕,4天/周3个月本科
算法工程师（自然语言、属性预测）,25-30K·16薪,大金(中国),上海·静安区·静安寺,3-5年本科
AI算法工程师实习生,200-400元/天,依图,上海·徐汇区·徐汇滨江,4天/周3个月本科
数据挖掘实习,5-6K,一嗨租车,上海,在校/应届本科
自然语言处理算法工程师,10-20K,万椿信息,上海·浦东新区·张江,1-3年本科
NLP算法工程师（文档智能）,15-25K,壹沓科技,上海·静安区·大宁,在校/应届本科
自然语言处理算法工程师,15-30K,森亿智能,上海·浦东新区·张江,1-3年本科
NLP自然语言处理工程师,18-35K·13薪,上海爱可生,上海·徐汇区·漕河泾,3-5年本科
人工智能算法助理工程师,300-500元/天,时擎科技,上海·浦东新区·张江,5天/周6个月硕士
污水处理,7-9K,旺旺集团,上海·闵行区·虹桥,1年以内大专
大数据处理（图像标注）,5-6K,安稷软件,上海·徐汇区·漕河泾,在校/应届大专
NLP算法专家,40-70K,上海冰鉴,上海·浦东新区·陆家嘴,5-10年本科
NLP算法专家,35-60K,建信览智,上海·浦东新区·北蔡,1-3年博士
AI算法工程师,200-250元/天,Prime IFM,上海·浦东新区·金桥,5天/周12个月硕士
高级自然语言处理工程师,20-40K·14薪,智慧芽,上海·徐汇区·田林,5-10年本科
AI-Lab NLP自然语言处理算法工程师,40-60K·15薪,北京字节跳动,上海·闵行区·虹梅路,3-5年本科
AI算法工程师（自然语言处理NLP）,15-20K,上海汇翰网络科技,上海·长宁区·新华路,1-3年本科
NLP自然语言处理工程师,25-50K·16薪,百度,上海·浦东新区·张江,3-5年本科
图像处理（画质）工程师（JVQYP）,8-13K,中科创达软件,上海·徐汇区·漕河泾,在校/应届本科
NLP算法工程师,50-80K·15薪,乐信集团,上海·虹口区·北外滩,5-10年本科
nlp算法专家,30-50K·15薪,MobTech,上海·徐汇区·田林,经验不限硕士
C语言开发实习生,200-250元/天,诚迈科技,上海·闵行区·浦江,4天/周6个月大专
语音算法工程师-C++,17-25K·15薪,科大讯飞,上海·长宁区·北新泾,1-3年硕士
AI算法工程师（NLP）,20-25K,万达信息,上海·闵行区·浦江,1-3年本科
AI算法实习生（深度学习）,200-250元/天,赛目科技,上海·松江区·泗泾,3天/周3个月硕士
2022校招-IT应用支持工程师 (MJ003854),12-24K,特斯拉 Tesla,上海·浦东新区·临港,在校/应届本科
java服务端技术专家 (MJ001502),25-35K·13薪,挖财,上海,经验不限学历不限
拒绝996-双休不加班中高级数据开发工程师,15-29K,中软国际,上海·徐汇区·漕河泾,3-5年大专
