职位,薪资,公司,所在地,要求
java开发项目经理（erp）,21-40K·13薪,飞菡技术,上海·浦东新区·张江,5-10年本科
红蓝对抗专员,14-24K·13薪,钧正科技,上海·徐汇区·徐家汇,1-3年大专
虚拟化技术经理,20-28K,药明康德,上海·浦东新区·外高桥,5-10年本科
Java,14-20K,软通动力,上海·浦东新区·唐镇,3-5年本科
售前工程师,14-22K,北京网安捷通上海办,上海·长宁区·仙霞,经验不限学历不限
售前,20-25K·20薪,开源中国,上海·浦东新区·陆家嘴,1-3年本科
应用架构师,30-50K·14薪,春及,上海·浦东新区·世纪公园,5-10年本科
渗透测试工程师,12-20K·15薪,天融信,上海·浦东新区·塘桥,1-3年大专
技术支持工程师,7-12K·13薪,北京天润融通,上海·虹口区·临平路,1-3年本科
项目经理,30-45K·14薪,乐天创研,上海·普陀区·长寿路,5-10年本科
RPA开发工程师,15-19K·13薪,港钛科技,上海·浦东新区·联洋,1-3年大专
存储系统工程师,15-25K·14薪,上海川源,上海·徐汇区·漕河泾,3-5年本科
产品助理,4-5K,商涌网络,上海·浦东新区·张江,经验不限本科
技术经理,15-18K,恒辉信达技术有限公司,上海·浦东新区·陆家嘴,3-5年本科
C/C+开发实习生,5-10K,软通动力信息技术集团,上海·浦东新区·张江,经验不限本科
网络工程师,10-15K,缔安科技,上海,在校/应届本科
IT售前工程师,8-10K·17薪,中建材信息,上海·浦东新区·曹路,1-3年大专
安全交付工程师,14-20K,昆联数码,上海·闵行区·虹桥,1-3年大专
数通安全售前工程师,13-20K·14薪,恒驰信息,上海·静安区·曹家渡,5-10年大专
解决方案经理-工业互联网-流程行业-博士,25-30K·14薪,雪浪云,上海·徐汇区·龙华,1-3年博士
资深售前顾问,25-40K,木浪云,上海·闵行区·虹桥,5-10年本科
产品经理,10-15K,凯馨科技,上海·浦东新区·三林,在校/应届本科
应用安全工程师,180-220元/天,bilibili,上海·杨浦区·五角场,4天/周3个月本科
售前/售后/技术支持,15-30K·15薪,英方软件,上海,5-10年大专
数据库解决方案顾问-上海,30-50K·18薪,PingCAP,上海·黄浦区·城隍庙,经验不限学历不限
安全服务实习生,200-400元/天,安恒信息,上海·浦东新区·临港,3天/周3个月本科
Service Support Associate_Shanghai,13-16K,SAP Labs,上海·浦东新区·张江,在校/应届本科
售后支持工程师,10-15K·13薪,鸿翼股份,上海,1-3年大专
售前技术支持 - 上海(JGBVV),25-45K·15薪,Authing,上海·杨浦区·五角场,5-10年本科
售前管培生,8-12K,轻流,上海·闵行区·老闵行,经验不限本科
系统集成工程师（go语言）,10-15K,速擎软件,上海·闵行区·浦江,1-3年大专
销售总监,13-14K·13薪,嘉洪信息,上海·浦东新区·曹路,5-10年本科
前瞻开发及系统测试实习生,200-400元/天,SenseTime,上海,4天/周4个月本科
java工程师-五险一金-双休,16-25K,智能聚合,上海·浦东新区·塘桥,3-5年大专
IT运维,5-7K·13薪,基美计算机科技,上海,1-3年大专
PostgreSQL数据库工程师,15-20K,北京海量数据,上海·长宁区·北新泾,3-5年本科
云技术文档/方案工程师,11-18K·13薪,万博智云信息科技,上海·浦东新区·塘桥,经验不限学历不限
行业技术支持经理,15-20K,听云,上海·长宁区·中山公园,5-10年本科
硬件工程师-B,15-20K,中科曙光,上海·浦东新区·张江,3-5年本科
JAVA研发架构师(金融方向),30-60K,百度,上海·浦东新区,5-10年本科
苹果企业技术经理,12-15K,美承集团,上海,经验不限大专
售前解决方案经理,20-40K,循环智能,上海·黄浦区·打浦桥,5-10年本科
解决方案工程师,20-30K,杭州数列科技有限公司,上海·闵行区·华漕,3-5年本科
售前顾问/管培生,8-13K·13薪,适途汽车,上海·浦东新区·康桥,经验不限本科
智能运维软件售前顾问,25-50K·13薪,必示科技,上海·杨浦区·东外滩,10年以上本科
产品经理,11-20K,德帆科技,上海·徐汇区·音乐学院,3-5年大专
RPA开发工程师（上海）,10-15K·13薪,金智维,上海·浦东新区·陆家嘴,1-3年大专
安全运营,20-25K·13薪,观安信息,上海·嘉定区·江桥,5-10年本科
高级DBA,15-22K·14薪,天玑科技,上海·闵行区·合川路,5-10年大专
网络安全研发工程师,12-24K,瀛太信息科技,上海·虹口区·临平路,经验不限大专
上云迁云架构师,35-60K·16薪,腾讯,上海·徐汇区·漕河泾,5-10年本科
软件解决方案架构师,30-60K·15薪,斑马网络,上海·闵行区·虹桥,5-10年本科
Product Director – SalesTech,55-80K·13薪,百威,上海·黄浦区·人民广场,5-10年本科
高级 /中级 MySQLDBA （上海 北京 深圳 ）,16-30K·13薪,热璞数据库,上海·长宁区·北新泾,3-5年本科
售前技术顾问（成都-西南）,15-23K·13薪,上海天旦,上海·浦东新区·陆家嘴,3-5年大专
存储售前工程师,25-35K,杉岩数据,上海·黄浦区·城隍庙,5-10年大专
售前解决方案管培生,15-30K,华控清交信息科技...,上海·徐汇区·漕河泾,在校/应届本科
Java架构师,25-50K·13薪,春及,上海·浦东新区·世纪公园,5-10年本科
分布式存储工程师（漕河泾）,15-30K·14薪,上海川源,上海·浦东新区·临港,3-5年本科
